,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1291,17.0,MELIACEAE,Caobo,Swietenia macrophylla 
1292,18.0,MELIACEAE,Caobo,Swietenia macrophylla 
1293,17.5,MELIACEAE,Caobo,Swietenia macrophylla 
1294,18.0,MELIACEAE,Caobo,Swietenia macrophylla 
1295,3.8,ARECACEAE,Palma manila,Veitchia merrillii 
1296,18.0,MELIACEAE,Caobo,Swietenia macrophylla 
1297,16.0,LAURACEAE,Aguacatillo,Persea caerulea
1298,10.5,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
1299,10.0,ANNONACEAE,Guanábano,Annona muricata 
1300,18.0,MELIACEAE,Caobo,Swietenia macrophylla 
1301,12.0,ARECACEAE,Palma Bismarckia,Bismarckia nobilis
1302,18.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1303,20.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1304,5.8,FABACEAE,Arizá,Brownea ariza 
1305,8.5,FABACEAE,Arizá,Brownea ariza 
1306,3.9,FABACEAE,Arizá,Brownea ariza 
1307,4.3,FABACEAE,Arizá,Brownea ariza 
1308,4.3,FABACEAE,Arizá,Brownea ariza 
1309,3.1,VERBENACEAE,Estrella de oriente,Petrea volubilis 
1310,1.0,MYRTACEAE,Grosello,Eugenia uniflora
1311,5.0,FABACEAE,Carbonero de pluma,Calliandra medellinensis
1312,5.0,FABACEAE,Carbonero de pluma,Calliandra medellinensis
1313,7.9,ARECACEAE,Palma cola de zorro,Wodyetia bifurcata 
1314,8.3,ARECACEAE,Palma cola de zorro,Wodyetia bifurcata 
